codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
IG-B--VIII-;Transferencias a la cuenta de pérdidas y ganancias;;VIII. Subvenciones, donaciones y legados recibidos.;;120;B;0;VIII;;IG;abbreviated
P---VII-2;;;VII. Efectivo y otros activos líquidos equivalentes.;2. Otros activos líquidos equivalentes.;121;;0;VII;2;P;normal
P---VII-2;;;VII. Efectivo y otros activos líquidos equivalentes.;2. Otros activos líquidos equivalentes.;122;;0;VII;2;P;abbreviated
P-A-1-I-1;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;1. Capital escriturado.;123;A;1;I;1;P;normal
P-A-1-I-1;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;1. Capital escriturado.;124;A;1;I;1;P;abbreviated
P-A-1-I-2;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;2. (Capital no exigido).;125;A;1;I;2;P;normal
P-A-1-I-2;A) PATRIMONIO NETO;A-1) Fondos propios.;I. Capital.;2. (Capital no exigido).;126;A;1;I;2;P;abbreviated
P-A-1-II-;A) PATRIMONIO NETO;A-1) Fondos propios.;II. Prima de emisión.;;127;A;1;II;;P;normal
P-A-1-II-;A) PATRIMONIO NETO;A-1) Fondos propios.;II. Prima de emisión.;;128;A;1;II;;P;abbreviated
P-A-1-III-1;A) PATRIMONIO NETO;A-1) Fondos propios.;III. Reservas.;1. Legal y estatutarias.;129;A;1;III;1;P;normal
P-A-1-III-1;A) PATRIMONIO NETO;A-1) Fondos propios.;III. Reservas.;1. Legal y estatutarias.;130;A;1;III;1;P;abbreviated
P-A-1-III-2;A) PATRIMONIO NETO;A-1) Fondos propios.;III. Reservas.;2. Otras reservas.;131;A;1;III;2;P;normal
P-A-1-III-2;A) PATRIMONIO NETO;A-1) Fondos propios.;III. Reservas.;2. Otras reservas.;132;A;1;III;2;P;abbreviated
P-A-1-IV-;A) PATRIMONIO NETO;A-1) Fondos propios.;IV. (Acciones y participaciones en patrimonio propias).;;133;A;1;IV;;P;normal
P-A-1-IV-;A) PATRIMONIO NETO;A-1) Fondos propios.;IV. (Acciones y participaciones en patrimonio propias).;;134;A;1;IV;;P;abbreviated
P-A-1-IX-;A) PATRIMONIO NETO;A-1) Fondos propios.;IX. Otros instrumentos de patrimonio neto.;;135;A;1;IX;;P;normal
P-A-1-IX-;A) PATRIMONIO NETO;A-1) Fondos propios.;IX. Otros instrumentos de patrimonio neto.;;136;A;1;IX;;P;abbreviated
P-A-1-V-1;A) PATRIMONIO NETO;A-1) Fondos propios.;V. Resultados de ejercicios anteriores.;1. Remanente.;137;A;1;V;1;P;normal
P-A-1-V-1;A) PATRIMONIO NETO;A-1) Fondos propios.;V. Resultados de ejercicios anteriores.;1. Remanente.;138;A;1;V;1;P;abbreviated
P-A-1-V-2;A) PATRIMONIO NETO;A-1) Fondos propios.;V. Resultados de ejercicios anteriores.;2. (Resultados negativos de ejercicios anteriores).;139;A;1;V;2;P;normal
