codbalance;nature;subtype;level1;description1;level2;description2;level3;description3;level4;description4
A-B--II-1;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;1;1. Comerciales.
A-B--II-2;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;2;2. Materias primas y otros aprovisionamientos.
A-B--II-3;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;3;3. Productos en curso.
A-B--II-4;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;4;4. Productos terminados.
A-B--II-5;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;5;5. Subproductos, residuos y materiales recuperados.
A-B--II-6;A;normal;B;B) ACTIVO CORRIENTE;0;;II;II. Existencias.;6;6. Anticipos a proveedores
A-B--III-1;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;1;1. Clientes por ventas y prestaciones de servicios.
A-B--III-2;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;2;2. Clientes, empresas del grupo y asociadas.
A-B--III-3;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;3;3. Deudores varios.
A-B--III-4;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;4;4. Personal.
A-B--III-5;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;5;5. Activos por impuesto corriente.
A-B--III-6;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;6;6. Otros créditos con las Administraciones Públicas.
A-B--III-7;A;normal;B;B) ACTIVO CORRIENTE;0;;III;III. Deudores comerciales y otras cuentas a cobrar.;7;7. Accionistas (socios) por desembolsos exigidos
A-B--IV-1;A;normal;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;1;1. Instrumentos de patrimonio.
A-B--IV-2;A;normal;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;2;2. Créditos a empresas.
A-B--IV-3;A;normal;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;3;3. Valores representativos de deuda.
A-B--IV-4;A;normal;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;4;4. Derivados.
A-B--IV-5;A;normal;B;B) ACTIVO CORRIENTE;0;;IV;IV. Inversiones en empresas del grupo y asociadas a corto plazo;5;5. Otros activos financieros.
A-B--V-1;A;normal;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;1;1. Instrumentos de patrimonio.
A-B--V-2;A;normal;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;2;2. Créditos a empresas
A-B--V-3;A;normal;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;3;3. Valores representativos de deuda.
A-B--V-4;A;normal;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;4;4. Derivados.
A-B--V-5;A;normal;B;B) ACTIVO CORRIENTE;0;;V;V. Inversiones financieras a corto plazo.;5;5. Otros activos financieros.
A-B--VI-;A;normal;B;B) ACTIVO CORRIENTE;0;;VI;VI. Periodificaciones a corto plazo.;;
